dates,GDP,C,G,I,Inventories,X,M
2012-01-01,3.4,1.96,-0.34,1.89,-0.48,0.68,-0.32
2012-04-01,1.8,0.47,-0.41,1.25,0.19,0.54,-0.24
2012-07-01,0.6,0.55,-0.12,0.09,0.08,0.33,-0.36
2012-10-01,0.5,1.09,-0.75,1.12,-1.68,0.05,0.63
2013-01-01,4.0,1.81,-0.7,1.25,1.31,0.28,0.05
2013-04-01,1.1,0.79,-0.09,0.67,0.19,0.48,-0.96
2013-07-01,3.5,1.11,-0.36,1.19,1.52,0.45,-0.47
2013-10-01,3.5,2.36,-0.57,1.07,-0.37,1.54,-0.5
2014-01-01,-1.4,0.93,-0.32,0.81,-1.44,-0.54,-0.82
2014-04-01,5.3,2.6,0.1,1.97,0.89,1.18,-1.48
2014-07-01,5.0,2.67,0.49,1.39,0.28,0.23,-0.11
2014-10-01,2.0,3.09,-0.06,0.94,-0.7,0.45,-1.68
2015-01-01,3.6,2.09,0.43,0.28,2.19,-0.4,-0.94
2015-04-01,2.5,1.86,0.69,0.74,-0.45,0.14,-0.48
2015-07-01,1.6,1.9,0.38,0.77,-0.61,-0.41,-0.41
2015-10-01,0.7,1.1,0.31,-0.02,-0.41,-0.07,-0.16
2016-01-01,2.3,2.04,0.65,0.51,-0.8,-0.15,0.09
2016-04-01,1.3,1.34,-0.05,0.51,-0.8,0.36,-0.06
2016-07-01,2.9,1.89,0.31,0.77,-0.47,0.78,-0.41
2016-10-01,2.2,1.4,0.13,0.63,1.25,-0.35,-0.82
2017-01-01,2.0,2.08,-0.19,0.89,-1.1,1.17,-0.9
2017-04-01,2.3,1.35,0.2,0.7,0.39,0.18,-0.56
2017-07-01,3.2,1.85,0.09,0.54,0.63,0.3,-0.22
2017-10-01,4.6,2.99,0.63,1.62,-0.28,1.28,-1.66
2018-01-01,3.3,1.98,0.15,1.23,-0.14,0.33,-0.26
2018-04-01,2.1,1.45,0.5,0.74,-0.74,0.27,-0.08
2018-07-01,2.5,1.25,0.55,0.2,1.99,-0.62,-0.85
2018-10-01,0.6,0.84,0.09,0.18,-0.11,0.19,-0.63
2019-01-01,2.5,0.42,0.96,0.2,0.46,0.44,0.05
2019-04-01,3.4,2.29,0.95,1.32,-0.62,-0.24,-0.32
2019-07-01,4.8,3.06,0.81,0.77,-0.18,0.05,0.26
2019-10-01,2.8,1.76,0.57,-0.19,-0.78,0.34,1.06
2020-01-01,-5.5,-4.48,0.78,-0.51,-1.34,-1.89,2.0
2020-04-01,-28.1,-21.87,1.83,-5.2,-3.67,-8.73,9.56
2020-07-01,35.2,25.29,-1.0,5.1,8.31,4.96,-7.46
2020-10-01,4.4,3.74,-0.27,2.66,-0.34,2.38,-3.76
2021-01-01,5.6,6.1,0.95,1.65,-1.93,0.0,-1.14
2021-04-01,6.4,9.04,-0.78,0.99,-2.0,0.33,-1.15
2021-07-01,3.5,2.11,-0.28,-0.38,3.1,0.09,-1.19
2021-10-01,7.4,3.0,-0.04,0.53,4.14,2.54,-2.77
2022-01-01,-1.0,0.64,-0.6,1.44,-0.1,-0.51,-1.9
2022-04-01,0.3,1.71,-0.27,0.35,-2.01,1.4,-0.9
2022-07-01,2.7,1.02,0.26,-0.33,-0.72,1.63,0.87
2022-10-01,3.4,0.81,0.9,-0.36,1.44,-0.12,0.68
2023-01-01,2.8,3.27,0.84,0.53,-2.16,0.23,0.1
2023-04-01,2.4,0.65,0.48,1.48,-0.06,-0.54,0.44
2023-07-01,4.4,1.72,0.94,0.45,1.34,0.53,-0.63
2023-10-01,3.2,2.33,0.61,0.62,-0.47,0.66,-0.57
2024-01-01,1.6,1.3,0.3,1.14,-0.49,0.21,-0.82
2024-04-01,3.0,1.9,0.52,0.42,1.05,0.12,-1.01
