dates,Policy rate,Inflation,Inflation expectation
1997-06-01,,78.06122448979593,
1997-07-01,,85.07462686567166,
1997-08-01,,88.09523809523809,
1997-09-01,,89.63963963963961,
1997-10-01,,92.99363057324841,
1997-11-01,,95.93495934959351,
1997-12-01,,99.01574803149605,
1998-01-01,,101.59574468085104,
1998-02-01,,99.32432432432434,
1998-03-01,,97.2447325769854,
1998-04-01,,93.6923076923077,
1998-05-01,,91.28508124076811,
1998-06-01,,90.54441260744986,
1998-07-01,,85.21505376344085,
1998-08-01,,81.26582278481011,
1998-09-01,,80.52256532066508,
1998-10-01,,76.45764576457645,
1998-11-01,,72.71784232365144,
1998-12-01,,69.63402571711177,
1999-01-01,,65.87510993843449,
1999-02-01,,63.89830508474574,
1999-03-01,,63.434675431388676,
1999-04-01,,63.860206513105645,
1999-05-01,,63.01158301158301,
1999-06-01,,64.28571428571428,
1999-07-01,,65.02177068214803,
1999-08-01,,65.43296089385476,
1999-09-01,,64.27631578947368,
1999-10-01,,64.71321695760601,
1999-11-01,,64.62462462462464,
1999-12-01,,68.80466472303209,
2000-01-01,,68.87592788971368,
2000-02-01,,69.64839710444674,
2000-03-01,,67.92357968828556,
2000-04-01,,63.7905962190984,
2000-05-01,,62.71909047844624,
2000-06-01,,58.58123569794049,
2000-07-01,,56.200527704485516,
2000-08-01,,53.186998733642874,
2000-09-01,,49.01882258710452,
2000-10-01,,44.43603330809991,
2000-11-01,,43.779642466253186,
2000-12-01,,38.99827288428326,
2001-01-01,,35.918367346938766,
2001-02-01,,33.4044498628467,
2001-03-01,,37.51497005988025,
2001-04-01,,48.29831311038768,
2001-05-01,,52.40174672489082,
2001-06-01,,56.10389610389612,
2001-07-01,,56.27815315315314,
2001-08-01,,57.508955635161186,
2001-09-01,,61.78446654125236,
2001-10-01,,66.48322851153041,
2001-11-01,,67.31793960923625,
2001-12-01,,68.4890656063618,
2002-01-01,,73.20397320397322,
2002-02-01,,73.10943568654326,
2002-03-01,,65.09906379272805,
2002-04-01,,52.704051087607255,
2002-05-01,,46.208213944603635,
2002-06-01,,42.595673876871864,
2002-07-01,,41.30787245541343,
2002-08-01,,40.20293911826454,
2002-09-01,,36.993355481727576,
2002-10-01,,33.40154257830945,
2002-11-01,,31.801637852593267,
2002-12-01,,29.70501474926255,
2003-01-01,,26.39273139503868,
2003-02-01,,27.004170516035387,
2003-03-01,,29.394144797573517,
2003-04-01,,29.491531625718782,
2003-05-01,,30.704873268879005,
2003-06-01,,29.803306106573313,
2003-07-01,,27.39425038245793,
2003-08-01,,24.894796605939607,
2003-09-01,,23.001333818358184,
2003-10-01,,20.79808849557523,
2003-11-01,,19.291255321597056,
2003-12-01,,18.403468273823066,
2004-01-01,,10.592916881178871,
2004-02-01,,9.479860244706861,
2004-03-01,,8.400148064229395,
2004-04-01,,7.87261325712818,
2004-05-01,,7.308186371837033,
2004-06-01,,7.081603986684026,
2004-07-01,,7.792716859780602,
2004-08-01,,8.446040286064571,
2004-09-01,,8.01200127761259,
2004-10-01,,9.42536745292224,
2004-11-01,,9.47571970107266,
2004-12-01,,9.353327825157699,
2005-01-01,,9.237740212827061,
2005-02-01,,8.691081645691767,
2005-03-01,,7.942919716360497,
2005-04-01,,8.179008519693355,
2005-05-01,,8.697748068446899,
2005-06-01,,8.957234215612386,
2005-07-01,,7.821406011929977,
2005-08-01,,7.909768528801897,
2005-09-01,,7.998329051459252,
2005-10-01,,7.519942070451147,
2005-11-01,,7.612258951711759,
2005-12-01,,7.717102656726205,
2006-01-01,,7.930823652720753,
2006-02-01,,8.147760020958872,
2006-03-01,,8.161309990418953,
2006-04-01,,8.829888437256784,
2006-05-01,,9.863741537406788,
2006-06-01,,10.118996661244761,
2006-07-01,,11.692784570346127,
2006-08-01,,10.262101938017597,
2006-09-01,,10.546775965520162,
2006-10-01,,9.97924449979244,
2006-11-01,,9.857540527263797,
2006-12-01,,9.653485527925,
2007-01-01,,9.929594561786859,
2007-02-01,,10.158268733850107,
2007-03-01,,10.86326300531486,
2007-04-01,,10.719961856325511,
2007-05-01,,9.227769110764438,
2007-06-01,,8.59830521651248,
2007-07-01,,6.899475794017884,
2007-08-01,,7.394502516453727,
2007-09-01,,7.124837550645968,
2007-10-01,,7.699856571299146,
2007-11-01,,8.399165300342815,
2007-12-01,,8.387240687039931,
2008-01-01,,8.171378091872782,
2008-02-01,,9.104236915408315,
2008-03-01,,9.152320767051659,
2008-04-01,,9.660518194215161,
2008-05-01,,10.740555595229594,
2008-06-01,,10.609206099219692,
2008-07-01,,12.064613831398297,
2008-08-01,,11.766402307137724,
2008-09-01,,11.125383572397052,
2008-10-01,,11.985701268661963,
2008-11-01,,10.759711240976277,
2008-12-01,,10.063799135624606,
2009-01-01,,9.500476384919022,
2009-02-01,,7.7331362536952275,
2009-03-01,,7.885805550009972,
2009-04-01,,6.126055370115857,
2009-05-01,,5.236344876507393,
2009-06-01,,5.734256682415384,
2009-07-01,,5.392535392535391,
2009-08-01,,5.334795510256729,
2009-09-01,,5.272283585923465,
2009-10-01,,5.076046817299851,
2009-11-01,,5.530726256983232,
2009-12-01,,6.525804038893046,
2010-01-01,,8.18520820385331,
2010-02-01,,10.127845338322427,
2010-03-01,,9.560819146311372,
2010-04-01,,10.194264569842737,
2010-05-01,7.0,9.099822293032656,
2010-06-01,7.0,8.367509334639145,
2010-07-01,7.0,7.577237757968014,
2010-08-01,7.0,8.334864351766802,
2010-09-01,7.0,9.235649362532783,
2010-10-01,7.0,8.619251846557074,
2010-11-01,7.0,7.28780659961179,
2010-12-01,6.5,6.401029781756473,
2011-01-01,6.25,4.900327454472331,
2011-02-01,6.25,4.156520754289605,
2011-03-01,6.25,3.986037608377435,
2011-04-01,6.25,4.264607118871733,
2011-05-01,6.25,7.1725454953943,
2011-06-01,6.25,6.2358788974243184,
