dates,Inflation,Goods,Services
1987-08-01,38.9029964448959,,
1987-09-01,39.63293650793651,,
1987-10-01,36.44773358001849,,
1987-11-01,41.74581637268204,,
1987-12-01,55.02669039145906,,
1988-01-01,64.21780466724285,,
1988-02-01,65.90909090909089,,
1988-03-01,68.76267748478702,,
1988-04-01,75.60588001589194,,
1988-05-01,73.15410829231352,,
1988-06-01,74.90523123578467,,
1988-07-01,74.30271476385273,,
1988-08-01,75.46617915904936,,
1988-09-01,80.5683836589698,,
1988-10-01,81.93220338983052,,
1988-11-01,80.40842373962987,,
1988-12-01,66.22668579626973,,
1989-01-01,62.5,,
1989-02-01,64.1298833079655,,
1989-03-01,60.24038461538461,,
1989-04-01,60.20361990950225,,
1989-05-01,59.56702383555652,,
1989-06-01,61.46510619852621,,
1989-07-01,63.772135694474066,,
1989-08-01,65.59699937486978,,
1989-09-01,65.13869761951602,,
1989-10-01,66.07043040804919,,
1989-11-01,64.50300672090555,,
1989-12-01,64.26721905748316,,
1990-01-01,60.03238866396763,,
1990-02-01,59.4899536321484,,
1990-03-01,62.82628262826282,,
1990-04-01,63.465612201666445,,
1990-05-01,63.601480060298776,,
1990-06-01,62.550335570469805,,
1990-07-01,56.30536737884315,,
1990-08-01,54.82572039763431,,
1990-09-01,59.32809149392422,,
1990-10-01,60.3051722203523,,
1990-11-01,61.315987528222784,,
1990-12-01,60.42454812946616,,
1991-01-01,61.991499696417726,,
1991-02-01,63.5429789708305,,
1991-03-01,62.27197346600333,,
1991-04-01,62.14254859611232,,
1991-05-01,62.447646171888074,,
1991-06-01,64.87200660611066,,
1991-07-01,68.60310051675278,,
1991-08-01,70.95253576072822,,
1991-09-01,66.84611933602514,,
1991-10-01,66.47536394176929,,
1991-11-01,66.84217541988802,,
1991-12-01,71.1319271583912,,
1992-01-01,78.49825087456273,,
1992-02-01,77.8442758947618,,
1992-03-01,78.69187531936636,,
1992-04-01,73.99296675191816,,
1992-05-01,69.8654153560563,,
1992-06-01,65.79685465290994,,
1992-07-01,65.79662860250137,,
1992-08-01,65.50347057145574,,
1992-09-01,67.66603925786502,,
1992-10-01,69.17934919700666,,
1992-11-01,68.59345663723886,,
1992-12-01,65.96746411483254,,
1993-01-01,59.767620914117735,,
1993-02-01,58.154799586845684,,
1993-03-01,58.011629015346465,,
1993-04-01,58.97106109324759,,
1993-05-01,65.02641005403436,,
1993-06-01,67.235597982056,,
1993-07-01,73.11786278660664,,
1993-08-01,71.242674939676,,
1993-09-01,68.24633148905461,,
1993-10-01,67.20260430903804,,
1993-11-01,69.6189934603355,,
1993-12-01,71.07636246223392,,
1994-01-01,75.23876281433455,,
1994-02-01,76.96504940274296,,
1994-03-01,76.95200176952002,,
1994-04-01,108.04438280166436,,
1994-05-01,113.38042418556738,,
1994-06-01,114.95664739884393,,
1994-07-01,110.12021632048499,,
1994-08-01,111.36329324140708,,
1994-09-01,111.29221872716295,,
1994-10-01,111.04571666369418,,
1994-11-01,109.53817785600535,,
1994-12-01,115.70028445475012,,
1995-01-01,125.0,,
1995-02-01,123.80952380952381,,
1995-03-01,121.59090909090908,,
1995-04-01,87.96296296296293,,
1995-05-01,80.17241379310344,,
1995-06-01,80.67226890756302,,
1995-07-01,81.14754098360655,,
1995-08-01,83.33333333333333,,
1995-09-01,86.46616541353383,,
1995-10-01,84.50704225352115,,
1995-11-01,82.0,,
1995-12-01,76.24999999999997,,
1996-01-01,78.33333333333331,,
1996-02-01,77.1276595744681,,
1996-03-01,78.46153846153847,,
1996-04-01,80.7881773399015,,
1996-05-01,82.29665071770336,,
1996-06-01,82.32558139534885,,
1996-07-01,81.90045248868776,,
1996-08-01,81.81818181818181,,
1996-09-01,79.03225806451614,,
1996-10-01,79.7709923664122,,
1996-11-01,80.21978021978022,,
1996-12-01,80.14184397163122,,
1997-01-01,75.70093457943925,,
1997-02-01,77.77777777777777,,
1997-03-01,77.29885057471265,,
1997-04-01,77.11171662125341,,
1997-05-01,77.69028871391075,,
1997-06-01,78.06122448979593,,
1997-07-01,85.07462686567166,,
1997-08-01,88.09523809523809,,
1997-09-01,89.63963963963961,,
1997-10-01,92.99363057324841,,
1997-11-01,95.93495934959351,,
1997-12-01,99.01574803149605,,
1998-01-01,101.59574468085104,,
1998-02-01,99.32432432432434,,
1998-03-01,97.2447325769854,,
1998-04-01,93.6923076923077,,
1998-05-01,91.28508124076811,,
1998-06-01,90.54441260744986,,
1998-07-01,85.21505376344085,,
1998-08-01,81.26582278481011,,
1998-09-01,80.52256532066508,,
1998-10-01,76.45764576457645,,
1998-11-01,72.71784232365144,,
1998-12-01,69.63402571711177,,
1999-01-01,65.87510993843449,,
1999-02-01,63.89830508474574,,
1999-03-01,63.434675431388676,,
1999-04-01,63.860206513105645,,
1999-05-01,63.01158301158301,,
1999-06-01,64.28571428571428,,
1999-07-01,65.02177068214803,,
1999-08-01,65.43296089385476,,
1999-09-01,64.27631578947368,,
1999-10-01,64.71321695760601,,
1999-11-01,64.62462462462464,,
1999-12-01,68.80466472303209,,
2000-01-01,68.87592788971368,,
2000-02-01,69.64839710444674,,
2000-03-01,67.92357968828556,,
2000-04-01,63.7905962190984,,
2000-05-01,62.71909047844624,,
2000-06-01,58.58123569794049,,
2000-07-01,56.200527704485516,,
2000-08-01,53.186998733642874,,
2000-09-01,49.01882258710452,,
2000-10-01,44.43603330809991,,
2000-11-01,43.779642466253186,,
2000-12-01,38.99827288428326,,
2001-01-01,35.918367346938766,,
2001-02-01,33.4044498628467,,
2001-03-01,37.51497005988025,,
2001-04-01,48.29831311038768,,
2001-05-01,52.40174672489082,,
2001-06-01,56.10389610389612,,
2001-07-01,56.27815315315314,,
2001-08-01,57.508955635161186,,
2001-09-01,61.78446654125236,,
2001-10-01,66.48322851153041,,
2001-11-01,67.31793960923625,,
2001-12-01,68.4890656063618,,
2002-01-01,73.20397320397322,,
2002-02-01,73.10943568654326,,
2002-03-01,65.09906379272805,,
2002-04-01,52.704051087607255,,
2002-05-01,46.208213944603635,,
2002-06-01,42.595673876871864,,
2002-07-01,41.30787245541343,,
2002-08-01,40.20293911826454,,
2002-09-01,36.993355481727576,,
2002-10-01,33.40154257830945,,
2002-11-01,31.801637852593267,,
2002-12-01,29.70501474926255,,
2003-01-01,26.39273139503868,,
2003-02-01,27.004170516035387,,
2003-03-01,29.394144797573517,,
2003-04-01,29.491531625718782,,
2003-05-01,30.704873268879005,,
2003-06-01,29.803306106573313,,
2003-07-01,27.39425038245793,,
2003-08-01,24.894796605939607,,
2003-09-01,23.001333818358184,,
2003-10-01,20.79808849557523,,
