dates,Portfolio investment,Direct investment,Other investment,Financial account
2004-11-01,0.6633333333333333,0.17333333333333334,-0.691,0.536
2004-12-01,1.1903333333333332,0.11666666666666667,-0.611,1.094
2005-01-01,1.8253333333333333,0.086,0.017,2.3063333333333333
2005-02-01,2.2113333333333336,0.18166666666666667,0.086,2.8583333333333334
2005-03-01,1.268,0.215,1.231,3.05
2005-04-01,0.203,0.20466666666666666,1.4096666666666668,2.1523333333333334
2005-05-01,0.035333333333333335,0.15333333333333335,1.505,2.1986666666666665
2005-06-01,1.023,0.138,1.3126666666666666,2.9743333333333335
2005-07-01,1.4056666666666668,0.4666666666666667,1.4896666666666667,3.9133333333333336
2005-08-01,0.8733333333333334,0.567,1.1233333333333333,3.2646666666666664
2005-09-01,0.6883333333333334,0.7743333333333333,0.172,2.388
2005-10-01,0.2653333333333333,0.48833333333333334,0.7376666666666666,2.1933333333333334
2005-11-01,1.2953333333333332,1.3536666666666668,1.0153333333333334,4.393666666666667
2005-12-01,1.5063333333333333,1.8616666666666668,2.2536666666666667,5.816
2006-01-01,2.2766666666666664,2.023,1.4563333333333333,5.950333333333333
2006-02-01,1.8573333333333333,1.1046666666666667,3.6956666666666664,6.831666666666667
2006-03-01,1.1933333333333334,0.461,3.181,5.432
2006-04-01,0.3096666666666667,0.39766666666666667,3.797,5.100666666666667
2006-05-01,-1.1303333333333332,2.5376666666666665,1.3873333333333333,3.4033333333333333
2006-06-01,-1.5076666666666667,2.6186666666666665,0.793,2.5136666666666665
2006-07-01,-0.741,2.5133333333333336,-0.5733333333333334,1.8413333333333333
2006-08-01,0.8433333333333334,1.3256666666666668,-0.369,1.8273333333333333
2006-09-01,1.37,1.183,0.021333333333333333,2.5486666666666666
2006-10-01,2.1393333333333335,2.056,-1.1753333333333333,3.0473333333333334
2006-11-01,1.955,1.644,-1.5876666666666668,2.656
2006-12-01,1.416,2.1576666666666666,-0.16133333333333336,3.7353333333333336
2007-01-01,1.1153333333333333,3.0486666666666666,0.3486666666666667,4.836666666666667
2007-02-01,1.8443333333333332,2.9403333333333337,0.7966666666666666,5.978333333333333
2007-03-01,1.5006666666666668,2.7596666666666665,0.6986666666666667,5.720333333333333
2007-04-01,1.295,1.1503333333333332,0.784,4.048333333333334
2007-05-01,0.20466666666666666,0.8483333333333334,1.1706666666666667,2.2116666666666664
2007-06-01,0.499,0.9016666666666666,1.139,2.5276666666666667
2007-07-01,0.5176666666666666,1.2633333333333332,2.4776666666666665,4.181333333333333
2007-08-01,-0.861,1.3656666666666668,4.246333333333333,5.088
2007-09-01,-0.6013333333333334,1.4406666666666668,3.0486666666666666,4.226333333333333
2007-10-01,-1.5473333333333332,1.2016666666666667,3.773,3.712
2007-11-01,-1.4033333333333333,1.0146666666666666,2.844,2.695
2007-12-01,-1.1206666666666667,1.545,3.2903333333333333,3.9546666666666663
2008-01-01,-0.9483333333333334,1.624,3.769,4.629666666666667
2008-02-01,0.406,1.7016666666666667,3.4103333333333334,5.651333333333333
2008-03-01,-0.4376666666666667,1.2816666666666667,2.8266666666666667,3.835
2008-04-01,-1.23,1.094,2.5343333333333335,2.5636666666666663
