dates,Retail sales,Industrial Production
2006-03-01,,12.264177930344001
2006-04-01,,10.224571795065284
2006-05-01,,10.163615806539017
2006-06-01,,11.143774072328938
2006-07-01,,8.5567873069736
2006-08-01,,6.4819597220374
2006-09-01,,5.298796336579548
2006-10-01,,4.151580609436523
2006-11-01,,3.4652220222251673
2006-12-01,,8.232961870617949
2007-01-01,,11.77742862214275
2007-02-01,,8.354215064428839
2007-03-01,,7.626922497064359
2007-04-01,,8.969361953373344
2007-05-01,,9.752875415620554
2007-06-01,,6.885656674737839
2007-07-01,,6.549164140960784
2007-08-01,,8.505469087581652
2007-09-01,,9.320818281016585
2007-10-01,,7.857013513684241
2007-11-01,,8.617063328492659
2007-12-01,,7.643418631878229
2008-01-01,,2.04338893201903
2008-02-01,,6.5345214889819925
2008-03-01,,4.70667153327875
2008-04-01,,2.9472737766644608
2008-05-01,,0.9250797465884197
2008-06-01,,3.5140756410307006
2008-07-01,,1.9099139101597107
2008-08-01,,-0.9372138920827777
2008-09-01,,-1.9885416585910365
2008-10-01,,-6.200401764013419
2008-11-01,,-10.002179675306222
2008-12-01,,-14.820787036335247
2009-01-01,,-19.488306593379146
2009-02-01,,-19.384197930995505
2009-03-01,,-20.27186171004558
2009-04-01,,-17.98954612804372
2009-05-01,,-15.050970107109007
2009-06-01,,-12.939741121299352
2009-07-01,,-9.643693542990972
2009-08-01,,-9.531157012741842
2009-09-01,,-8.213234828829963
2009-10-01,,-1.6017316017316152
2009-11-01,,6.543941631725403
2009-12-01,,5.046770551792412
2010-01-01,,11.557523939971714
2010-02-01,,11.853115796362967
2010-03-01,,15.27653701261562
2010-04-01,,14.576270398221647
2010-05-01,,14.112190812720836
2010-06-01,,11.501624727387405
2010-07-01,,10.433794230284876
2010-08-01,,14.442980211067425
2010-09-01,,13.3783032648084
2010-10-01,,12.421740160411531
2010-11-01,,11.2990531859835
2010-12-01,,17.98137316770503
2011-01-01,15.019011406844097,24.242625181014876
2011-02-01,13.773584905660364,19.585396944810142
2011-03-01,12.222222222222223,16.878619827170873
2011-04-01,10.805860805860812,15.507895500548962
2011-05-01,11.252268602540827,13.544748265088868
2011-06-01,13.818181818181818,15.048927867970363
2011-07-01,13.082437275985681,16.40048577282127
2011-08-01,12.54416961130742,17.043140300189187
2011-09-01,7.426597582038008,10.621956109064179
2011-10-01,10.069444444444443,15.772362618341628
2011-11-01,6.756756756756754,11.181014486410778
2011-12-01,5.87248322147651,9.400072513973301
2012-01-01,4.297520661157028,3.833943371473625
2012-02-01,4.975124378109452,3.8968845893067927
2012-03-01,5.775577557755773,6.693118491193539
2012-04-01,8.099173553719009,8.057607297720848
2012-05-01,7.014681892332786,7.377833279995549
2012-06-01,4.632587859424908,4.654767167761098
2012-07-01,4.437400950871639,3.632703711580887
