dates,Total NPL,Consumer loan NPL,SME loan NPL
2020-05-01,4.54,2.405687128392867,7.8182462837496205
2020-06-01,4.41,2.177403044654302,7.631382783006695
2020-07-01,4.25,2.0218283656060123,7.3719751773817075
2020-08-01,4.14,1.956602668888593,7.092172494187461
2020-09-01,4.06,1.937685791273314,6.970770996400865
2020-10-01,3.97,1.8960074033599152,6.806550834451266
2020-11-01,3.97,1.8727171104668365,6.708950961249393
2020-12-01,4.08,1.713475859672496,6.887887339939174
2021-01-01,4.08,1.7390719179147216,6.954513111039233
2021-02-01,4.02,1.7387865048692694,6.768139217684964
2021-03-01,3.79,1.6885881572872823,6.557396793259572
2021-04-01,3.74,1.7143344234272535,6.486288117767191
2021-05-01,3.69,1.78454246160719,6.465928672463657
2021-06-01,3.66,1.8608978736898472,6.342660187133433
2021-07-01,3.71,1.956656905026282,6.408434934630621
2021-08-01,3.67,1.9976056619548814,6.317349612206526
2021-09-01,3.54,1.9158423569785954,5.978726405075001
2021-10-01,3.5,2.076271793287306,5.873591001729578
2021-11-01,3.22,2.283092588977213,5.521637303389734
2021-12-01,3.15,2.361503783899286,5.540272997081258
2022-01-01,3.13,2.494977426857315,5.447607769478474
2022-02-01,3.02,2.551711034011148,5.262117636335183
2022-03-01,2.86,2.5367473816163932,4.9769452888461405
2022-04-01,2.75,2.4401367091150643,4.6399923947812205
2022-05-01,2.61,2.3683334357263313,4.378758924391232
2022-06-01,2.49,2.2723658698063294,4.055505252010944
2022-07-01,2.42,2.308597504529788,3.9252202567512637
2022-08-01,2.38,2.3454556686614993,3.7150666059946125
2022-09-01,2.28,2.269944287879284,3.50490895039377
2022-10-01,2.23,2.269331402579932,3.3175787898823654
2022-11-01,2.16,2.2265395580494736,3.0826845909236127
2022-12-01,2.1,2.062788968341817,2.8855143356045234
2023-01-01,2.01,2.035703670249545,2.6502480546676
2023-02-01,1.93,1.9644070247828271,2.421949876112591
2023-03-01,1.82,1.9076950864055835,2.2083190265554955
2023-04-01,1.86,1.8722980217355978,2.1701513497290126
2023-05-01,1.75,1.8145372187803777,1.9360170946390363
2023-06-01,1.64,1.8136920409491522,1.8421672034337555
2023-07-01,1.6,1.865719974039655,1.8249709683075772
2023-08-01,1.61,1.9140097402134917,1.806908031072455
2023-09-01,1.53,1.9016842743090612,1.707166602509378
2023-10-01,1.54,1.9720934922871314,1.6961389774084588
2023-11-01,1.51,1.960610507882308,1.6733362522705326
2023-12-01,1.6,1.962367868477449,1.781799861203286
2024-01-01,1.6,2.0714220587740897,1.7137348218334345
2024-02-01,1.55,2.1065172316604452,1.562686595026408
2024-03-01,1.49,2.015653866284587,1.545439493985006
2024-04-01,1.52,2.1314639257357015,1.5579912932113709
2024-05-01,1.52,2.1940699287809307,1.593702558516509
2024-06-01,1.53,2.1676949889065567,1.6183229956337566
2024-07-01,1.68,2.413880252288071,1.6936084185743414
2024-08-01,1.69,2.4494984291370487,1.7816595874386405
2024-09-01,1.71,2.520647508421178,1.8064152219526781
2024-10-01,1.77,2.6052403725501976,1.9065445602178352
2024-11-01,1.8,2.670411485894459,1.953236255216506
2024-12-01,1.78,2.932785443038172,2.018883860653567
2025-01-01,1.87,3.1808260379428384,2.086724908477752
2025-02-01,1.93,3.381067729719152,2.1257798345652272
2025-03-01,1.93,3.372220704025861,2.2391941373632926
2025-04-01,2.03,3.5423499177551463,2.3577299148650455
2025-05-01,2.09,3.663250820640276,2.4739695927510668
2025-06-01,2.12,3.7298425641892132,2.6260691257493196
2025-07-01,2.18,3.850235358093819,2.763660536767088
2025-08-01,2.22,3.867422308165744,2.934383527139623
2025-09-01,2.29,3.837690706648946,3.058733134336275
